expr,min,lq,mean,median,uq,max,neval,cpu,os,date,blas,lapack
Matrix calculation,3.489791561,3.5950974565,3.6607647146666666,3.700403352,3.7462512915,3.792099231,3,AMD Ryzen 9 3900X 12-Core Processor,Ubuntu 20.04.3 LTS,2021-11-26,/usr/lib/x86_64-linux-gnu/openblas-pthread/libblas.so.3,/usr/lib/x86_64-linux-gnu/openblas-pthread/liblapack.so.3
Matrix functions,3.30244283,3.3685986850000003,3.3987756583333333,3.43475454,3.4469420725,3.459129605,3,AMD Ryzen 9 3900X 12-Core Processor,Ubuntu 20.04.3 LTS,2021-11-26,/usr/lib/x86_64-linux-gnu/openblas-pthread/libblas.so.3,/usr/lib/x86_64-linux-gnu/openblas-pthread/liblapack.so.3
Programming,3.311836806,3.3215469685,3.3860618373333335,3.331257131,3.4231743530000003,3.515091575,3,AMD Ryzen 9 3900X 12-Core Processor,Ubuntu 20.04.3 LTS,2021-11-26,/usr/lib/x86_64-linux-gnu/openblas-pthread/libblas.so.3,/usr/lib/x86_64-linux-gnu/openblas-pthread/liblapack.so.3
Stan compile,9.066013226,9.0761640855,9.104380717333333,9.086314945,9.123564463000001,9.160813981,3,AMD Ryzen 9 3900X 12-Core Processor,Ubuntu 20.04.3 LTS,2021-11-26,/usr/lib/x86_64-linux-gnu/openblas-pthread/libblas.so.3,/usr/lib/x86_64-linux-gnu/openblas-pthread/liblapack.so.3
Stan sample,12.40927223,12.753220684999999,12.961877130333333,13.09716914,13.238179580499999,13.379190021,3,AMD Ryzen 9 3900X 12-Core Processor,Ubuntu 20.04.3 LTS,2021-11-26,/usr/lib/x86_64-linux-gnu/openblas-pthread/libblas.so.3,/usr/lib/x86_64-linux-gnu/openblas-pthread/liblapack.so.3
